celebrity,total_images,successful_images,success_rate,avg_confidence,scientific_quality_score,quality_grade,avg_perceptual_fidelity,avg_identity_preservation,avg_structural_integrity,avg_technical_quality,race
henrygolding,20,20,1.0,0.9985156059265137,0.8934134290183515,B,0.8131488434951752,0.9892091920579442,0.9097363435816572,0.8673420497421696,caucasian
urassayasperbund,20,20,1.0,0.9985500752925873,0.8988230873065615,B,0.8527924172461464,0.9846870807781072,0.8736301249850745,0.8680906135997537,caucasian
gongli,20,20,1.0,0.9986659348011017,0.9066105018813062,A,0.8341489309301979,0.9953777775635719,0.9268986879426226,0.8711020346542735,chinese
yangmi,20,20,1.0,0.9981813341379165,0.9009819690926163,A,0.7890172951091116,0.9966131592071574,0.954697269200649,0.8993500946810012,chinese
ronnychieng,20,20,1.0,0.999551385641098,0.8979859540867204,B,0.810863882715777,0.9896545027761168,0.9176362013785431,0.8917333601843653,chinese
irrfankhan,20,20,1.0,0.9912810027599335,0.8978936685961638,B,0.8278066813039564,0.993236408844219,0.9049118543630715,0.8613869107593282,indian
priyankachopra,20,20,1.0,0.9992951571941375,0.8804430841608786,B,0.7771011023854887,0.9863977793956519,0.911363588505669,0.8684376453741885,indian
sitinurhaliza,20,20,1.0,0.9994244873523712,0.8955982405103763,B,0.8096508109759943,0.9911319318220679,0.9238832926944394,0.8673614572217992,malay
aaronaziz,20,20,1.0,0.9994901716709137,0.9021872836692916,A,0.798294651766437,0.9964948820393815,0.9414192608632257,0.9036789251105277,malay
