timestamp,image1,image2,hamming_distance,similarity,is_same_person,bits_different,total_bits
2025-08-04T10:21:57.210766,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,240308-Ronny-Chieng-al-1232-d19fc8.jpg,-1,0.5833333333333333,True,-1,-1
2025-08-04T10:22:05.472219,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,-1,0.65625,True,-1,-1
2025-08-04T10:22:13.425316,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,244936.jpg,-1,0.6770833333333333,True,-1,-1
2025-08-04T10:22:21.310238,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,PPymkSZt_400x400.jpg,-1,0.5416666666666667,True,-1,-1
2025-08-04T10:22:29.418427,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,901343_v9_bb.jpg,-1,0.6041666666666667,True,-1,-1
2025-08-04T10:22:37.678547,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,AAAABe2wZ2YVKZQ8BvF8mFd-WoMd547nFmxTxY6faBlBNKE03ioalQeE53_Qt85Bxpgb8abYQBFyZc5B32_Fqzjug3vb_JlDU-042iWAgcNiFRRAPb-Q6VdiD8Nh4_GsDprzAmH0LA.jpg,-1,0.5833333333333333,True,-1,-1
2025-08-04T10:22:46.015510,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,shang-chi-ronny-chieng-singaporean-ah-beng-role-comment.jpg,-1,0.6354166666666667,True,-1,-1
2025-08-04T10:22:54.093489,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,MRVOGUE_VOGUESG_ONLINE9-1-680x1020.jpg,-1,0.59375,True,-1,-1
2025-08-04T10:23:03.228469,AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,hodinkee_talking_watches_ronnie_chieng.jpg,-1,0.5208333333333333,True,-1,-1
2025-08-04T10:23:11.427128,240308-Ronny-Chieng-al-1232-d19fc8.jpg,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,-1,0.59375,True,-1,-1
2025-08-04T10:23:19.242501,240308-Ronny-Chieng-al-1232-d19fc8.jpg,244936.jpg,-1,0.71875,True,-1,-1
2025-08-04T10:23:27.101561,240308-Ronny-Chieng-al-1232-d19fc8.jpg,PPymkSZt_400x400.jpg,-1,0.6875,True,-1,-1
2025-08-04T10:23:35.117388,240308-Ronny-Chieng-al-1232-d19fc8.jpg,901343_v9_bb.jpg,-1,0.6875,True,-1,-1
2025-08-04T10:23:42.861303,240308-Ronny-Chieng-al-1232-d19fc8.jpg,AAAABe2wZ2YVKZQ8BvF8mFd-WoMd547nFmxTxY6faBlBNKE03ioalQeE53_Qt85Bxpgb8abYQBFyZc5B32_Fqzjug3vb_JlDU-042iWAgcNiFRRAPb-Q6VdiD8Nh4_GsDprzAmH0LA.jpg,-1,0.625,True,-1,-1
2025-08-04T10:23:51.050437,240308-Ronny-Chieng-al-1232-d19fc8.jpg,shang-chi-ronny-chieng-singaporean-ah-beng-role-comment.jpg,-1,0.78125,True,-1,-1
2025-08-04T10:23:59.047055,240308-Ronny-Chieng-al-1232-d19fc8.jpg,MRVOGUE_VOGUESG_ONLINE9-1-680x1020.jpg,-1,0.6770833333333333,True,-1,-1
2025-08-04T10:24:08.027773,240308-Ronny-Chieng-al-1232-d19fc8.jpg,hodinkee_talking_watches_ronnie_chieng.jpg,-1,0.6666666666666667,True,-1,-1
