image_id,image_path,face_confidence,detection_time,original_size,face_region_size,processed_size,face_box,min_face_size,scale_factor,ssim_score,psnr_score,mse_score,mae_score,original_blur,processed_blur,blur_degradation,original_sharpness,processed_sharpness,sharpness_degradation,original_contrast,processed_contrast,contrast_change,histogram_correlation,edge_preservation,mean_pixel_diff,std_pixel_diff,processed_path,comparison_path,original_crop_path
img_0013,images/celeb-dataset/indian/irrfankhan/20ecb15b8bbd40acb4772d600c7616cc.jpg,0.999999463558197,0.6845264434814453,1440000,71379,25600,"[1010, 185, 231, 309]",40,0.709,1.0,0.0,0.0,0.0,177.83206126556396,177.83206126556396,0.0,61.02435859448582,61.02435859448582,0.0,53.41599130000772,53.41599130000772,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0013_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0013_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0013_original.jpg
img_0014,images/celeb-dataset/indian/irrfankhan/Irrfan_Khan_May_2015.jpg.jpg,0.9999628663063049,0.5487494468688965,270000,33072,25600,"[224, 86, 159, 208]",40,0.709,1.0,0.0,0.0,0.0,353.00035156097414,353.00035156097414,0.0,70.56761787449888,70.56761787449888,0.0,52.71059287811606,52.71059287811606,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0014_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0014_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0014_original.jpg
img_0015,images/celeb-dataset/indian/irrfankhan/15399878b440f27a0c58eae8768cb724.jpg,1.0,0.5329117774963379,268324,25208,25600,"[225, 116, 137, 184]",40,0.709,1.0,0.0,0.0,0.0,216.01942925872802,216.01942925872802,0.0,62.9695175856774,62.9695175856774,0.0,54.54173279143255,54.54173279143255,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0015_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0015_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0015_original.jpg
img_0016,images/celeb-dataset/indian/irrfankhan/9f211a02c168d64c95adbb9959fa695e.jpg,0.99994957447052,0.485241174697876,226800,36386,25600,"[111, 74, 161, 226]",40,0.709,1.0,0.0,0.0,0.0,1014.8881176620483,1014.8881176620483,0.0,80.30734533631917,80.30734533631917,0.0,63.89597326251334,63.89597326251334,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0016_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0016_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0016_original.jpg
img_0017,images/celeb-dataset/indian/irrfankhan/7b5e6b617116428ccb4f0704b16ca97a.jpg,0.9999930262565613,0.5092318058013916,324135,46937,25600,"[250, 124, 187, 251]",40,0.709,1.0,0.0,0.0,0.0,663.3512325912475,663.3512325912475,0.0,72.027422143936,72.027422143936,0.0,51.30326983816574,51.30326983816574,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0017_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0017_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0017_original.jpg
img_0018,images/celeb-dataset/indian/irrfankhan/images - 2025-07-22T160126.908.jpeg,0.9991550445556641,0.39095187187194824,50400,2040,25600,"[103, 57, 40, 51]",40,0.709,1.0,0.0,0.0,0.0,52.502539048767076,52.502539048767076,0.0,63.59353988661705,63.59353988661705,0.0,60.83112566449329,60.83112566449329,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0018_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0018_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0018_original.jpg
img_0019,images/celeb-dataset/indian/irrfankhan/download (13).jpeg,0.9999986886978149,0.3933095932006836,50196,8112,25600,"[53, 34, 78, 104]",40,0.709,1.0,0.0,0.0,0.0,191.76085068359373,191.76085068359373,0.0,67.65349753165532,67.65349753165532,0.0,62.687397122561315,62.687397122561315,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0019_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0019_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0019_original.jpg
img_0020,images/celeb-dataset/indian/irrfankhan/images - 2025-07-22T160127.645.jpeg,0.9999232888221741,0.40180063247680664,50400,12177,25600,"[126, 4, 99, 123]",40,0.709,1.0,0.0,0.0,0.0,102.7911424255371,102.7911424255371,0.0,42.99028527902352,42.99028527902352,0.0,43.51257699259911,43.51257699259911,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0020_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0020_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0020_original.jpg
img_0021,images/celeb-dataset/indian/irrfankhan/images (47).jpeg,0.9961484670639038,0.3925766944885254,50424,2296,25600,"[114, 24, 41, 56]",40,0.709,1.0,0.0,0.0,0.0,62.92011486663819,62.92011486663819,0.0,66.79882065722256,66.79882065722256,0.0,62.04004832999427,62.04004832999427,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0021_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0021_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0021_original.jpg
img_0022,images/celeb-dataset/indian/irrfankhan/images (27).jpeg,0.9972629547119141,0.3977384567260742,50370,5796,25600,"[66, 37, 63, 92]",40,0.709,1.0,0.0,0.0,0.0,320.41718368530275,320.41718368530275,0.0,85.4355260399341,85.4355260399341,0.0,55.83839017213046,55.83839017213046,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0022_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0022_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0022_original.jpg
