celebrity,total_images,successful_images,success_rate,avg_confidence,avg_ssim,avg_psnr,avg_edge_preservation,avg_sharpness_degradation,quality_score,race
henrygolding,20,20,1.0,0.9985156059265137,0.9769157440644269,38.97664001671778,0.8356311540705971,7.914653169182939,8.89447550744638,caucasian
urassayasperbund,20,20,1.0,0.9985500752925873,0.9805969740882772,38.89821537097601,0.8277242509821472,8.918321384950533,8.872306050289087,caucasian
gongli,20,20,1.0,0.9986659348011017,0.9940648369343794,38.75825014139312,0.8684908864041606,5.045221610442642,9.081609796501297,chinese
yangmi,20,20,1.0,0.9981813341379165,0.996443913457885,41.203139877550505,0.9102172138996538,3.7738755765962857,9.32681413486656,chinese
ronnychieng,20,20,1.0,0.999551385641098,0.9862414683193643,40.83539867169064,0.8560095160437994,6.810895883101791,9.078301409445462,chinese
irrfankhan,20,20,1.0,0.9912810027599335,0.9879156515221714,38.12972175334662,0.8070800965679163,7.04933291699177,8.827598436756382,indian
priyankachopra,20,20,1.0,0.9992951571941375,0.9771451137798228,39.06563756050533,0.8642677363209399,9.339460475013446,8.970614561752189,indian
sitinurhaliza,20,20,1.0,0.9994244873523712,0.9861750993808933,38.68937820599707,0.8656922311995086,6.769971278676624,9.021652506575215,malay
aaronaziz,20,20,1.0,0.9994901716709137,0.9957553623262102,41.60358208543753,0.8846823547487211,4.64170177524703,9.254794779216036,malay
